lag_hours,acf_median,acf_mean,acf_p25,acf_p75
45,0.2270792402884786,0.23567169865115906,0.20957673128890703,0.2505107032054749
46,0.23088293439604307,0.24209657955812564,0.21342597328925575,0.2569580252512695
47,0.23480158479356417,0.24792434506756594,0.21893507407632018,0.2625837011374167
48,0.23666005248297933,0.25020409338682265,0.22301171902758582,0.2635933678220297
49,0.22920948439282268,0.242384016665263,0.21508493749218685,0.25343192068239506
50,0.21515612718891042,0.22867790509372002,0.19933939266050904,0.23874086632896113
51,0.20140796887297563,0.2148730636017756,0.18490386886847204,0.22329505631881
52,0.1920946536538129,0.204400590529919,0.17740383595252,0.20948959244916543
53,0.1825553837276982,0.19545640119187238,0.1674340560837426,0.20203266749809953
54,0.17624095528526457,0.18803270472411307,0.15605494741129236,0.19706869355290524
55,0.16882829716091585,0.1813157424338737,0.1462231147725852,0.19117309965785814
56,0.16356096410476353,0.17467078432049157,0.13857450029296742,0.1805647973100259
57,0.15962239048141408,0.16887374102234043,0.13247510075698865,0.17433064738375298
58,0.15373928482982585,0.16343975377130956,0.12768445925197935,0.171177432542832
59,0.1493938574981023,0.15935044611747218,0.12410436587967147,0.16807759985965115
60,0.14665191301090913,0.15604726634223134,0.1208464585683585,0.16555465102073405
61,0.14430165259896233,0.153715533288754,0.11821913256931992,0.16167936852013123
62,0.14433194079411588,0.1539704028688056,0.11914118617947302,0.15935156637964332
63,0.14504433648839676,0.15413773526230098,0.12068453425135278,0.15931917977546692
64,0.14540955491136986,0.15524586923188116,0.12261161655406952,0.15992588811067088
65,0.14472791446831632,0.15744452201034434,0.12482853002430944,0.1620496212627186
66,0.14633037272866226,0.16035748668314703,0.12732734159428527,0.1631907819687677
67,0.14826355939726302,0.16445892032050116,0.13323602390753528,0.16656938562727633
68,0.15327969709471895,0.16950894986563833,0.1334688577979506,0.17140144280437467
69,0.161506294204596,0.1770032642735113,0.13889219659294935,0.17786729618692101
70,0.16685488688842826,0.1857244534623652,0.15047103079079194,0.1854600716358194
71,0.17393542188404792,0.1937482060115586,0.16082707078681424,0.1928178678117202
72,0.1775567625963055,0.19754792888695205,0.16654304937818393,0.19717387293831273
73,0.17173319106636795,0.19159486245304197,0.15837801114984457,0.19127439269476643
74,0.16088117383943168,0.18104750287476615,0.14478743928376697,0.18108212482834166
75,0.15235476503717676,0.17095519626101383,0.13278386229428338,0.17019338348012866
76,0.14311602016407737,0.16234908633805847,0.12735769574933603,0.1618014721764357
77,0.13775935377487175,0.15539621171865114,0.12333759189113558,0.1577656769423953
78,0.13392415897920923,0.15061405885312842,0.11911649943695679,0.15514696828282834
79,0.12982782847185237,0.1460977848510714,0.11279558111450812,0.14685415830061638
80,0.1255704527364883,0.14229453455371122,0.10767794802809241,0.13946774172949777
81,0.12295012954702644,0.13978705132807712,0.10517562606025996,0.13617812159591236
82,0.12119852910671253,0.13705686830437663,0.10091999230579701,0.13474505613268745
83,0.11962016091411504,0.13519349306935358,0.09991467791678454,0.1356040734643413
84,0.11972740811361529,0.13412356859399915,0.09711735740026434,0.13526402511807353
85,0.11920543377798551,0.13339554139052825,0.09726541966933495,0.1349721937211275
86,0.11980765229871501,0.1332403314360744,0.09735627501516321,0.13382063652803633
87,0.11888992689884921,0.13353396704838713,0.09964153301292354,0.1329491921072688
88,0.12130740649011074,0.1344481868103576,0.10210273384386412,0.1337370727445056
89,0.12412003131340592,0.1359885365927019,0.10662224049835958,0.13579396244699565
90,0.1252901265867504,0.13831366248835503,0.10883067118443604,0.1394148496414834
91,0.12543595146442724,0.14142995052928634,0.11122969275850163,0.14055701691217187
92,0.12910612538046684,0.14594913357192346,0.11576336856617869,0.14386742063057728
93,0.13787468517360754,0.15231332035471543,0.12078972729273171,0.1485896764397292
94,0.14385147194541814,0.16005984024164135,0.12945069684650667,0.15468911992096657
95,0.15008938177211045,0.16767966057349845,0.13795669498191265,0.16136669183832175
96,0.15453855922587695,0.171595772057326,0.1410878247231953,0.1649868093372978
97,0.14960652326782076,0.1666213386575571,0.13816514778736716,0.1607476126460216
98,0.13981982351614602,0.15710518609182925,0.12742101871046196,0.15216418226366787
99,0.12997602960992483,0.14764442810403597,0.11575283382516761,0.14306426767797442
100,0.12152331207675761,0.1392908245643889,0.10896479545282618,0.13554470375820116
101,0.11496590193179507,0.13310035125634068,0.10562269178463195,0.13439759286382827
102,0.11285426420107658,0.12906609879535585,0.10098177698221675,0.13072571005936243
103,0.11006320956650442,0.12583667142950195,0.0960815094922916,0.12435552036179567
104,0.10671414124240777,0.12211346168297481,0.08981482891130269,0.12156581085006227
105,0.10373553311853978,0.11882924137166866,0.08662857368227757,0.12004904783994234
106,0.10153269279753385,0.11650118387453544,0.08433781793108468,0.11775101802103934
107,0.09848190354530413,0.11437813039924631,0.08161744194417199,0.116403888871113
108,0.09620553919702057,0.11235745656251828,0.07988141976670336,0.11638788583642905
109,0.09509613484919266,0.11136707448142381,0.07988251869827481,0.11566722222336792
110,0.09626837981463501,0.11099754603461054,0.07919270550566429,0.11435866934094743
111,0.09598714953384715,0.11174772755429879,0.07954337642092685,0.11408935251177653
112,0.09663443589359039,0.11298309174027642,0.08134758104245396,0.11441931761265291
113,0.09699724782445225,0.11487971424298925,0.08539897943125609,0.11843355663921734
114,0.09678734087507654,0.1167294751978502,0.08679939896380176,0.12350778102810894
115,0.09905281136264638,0.11984449953105719,0.09063958482750513,0.1243549305118473
116,0.1060391700239755,0.1244924565254239,0.09614133306624208,0.1238636414543019
117,0.11339235766320951,0.1306045146591027,0.10043528437695895,0.12732567655613045
118,0.12262682746645559,0.1387145576916649,0.10603656245663085,0.13447269066389678
119,0.13193231728458243,0.14696732534026455,0.11642418591135503,0.1442122513639843
120,0.13549189861368566,0.15102818462779344,0.12070349346529657,0.14963121792537087
121,0.13208804773959482,0.14689790767606425,0.11402250995495494,0.14210947107976718
122,0.12284383155832998,0.1383078465452266,0.10642359784667016,0.1321596010560044
