model,seq_len,F,ma24_rmse,ma24_rmse_std,ma24_mae,hourly_rmse,hourly_mae,n_stations
gat_informer,96,F1,7.412439054912991,1.1625983033726872,5.067155400911967,10.494898663626778,6.750669519106547,18
gat_informer,96,F2,7.412421809302436,1.162593408268372,5.067145599259271,10.49488639831543,6.750673585467869,18
gat_informer,96,F3,7.412379821141561,1.1625909497167584,5.067120658026801,10.494857655631172,6.750677863756816,18
gat_informer,96,F4,7.412423849105835,1.162592908183738,5.067147731781006,10.494887643390232,6.7506725788116455,18
gat_informer,96,F5,7.412491030163235,1.1626059426789659,5.067185587353176,10.494934267467922,6.750662234094408,18
informer,24,F1,5.950807170438997,0.9334670620744565,4.083185589975603,9.408036480049471,6.118640767386503,18
informer,24,F2,6.164836014159206,0.961748057580868,4.242050664168568,9.570879908431493,6.252012379147998,18
informer,24,F3,6.301809485136902,0.8495135976910797,4.434139334681816,9.707318620915338,6.464265834338636,18
informer,24,F4,6.542977378152253,1.091745589012423,4.564209172938174,9.93615171305956,6.573155660847281,18
informer,24,F5,6.1933764805063305,0.9945805119092757,4.475986038640872,9.655709617037422,6.519438271692175,18
informer,48,F1,6.057272071419063,0.9785626475930478,4.222916739434562,9.522107522373142,6.253935739928002,18
informer,48,F2,6.155993346073793,1.0839182578839888,4.3626830233420835,9.571961727268006,6.362667596185856,18
informer,48,F3,6.309506803407162,0.9222115536152625,4.491637864229864,9.699673826698293,6.487549978619664,18
informer,48,F4,6.272748808524582,0.9219369739403914,4.416665372826753,9.690027484379312,6.445709163772147,18
informer,48,F5,6.204892329481904,0.9447955116601203,4.444694892101591,9.658294424269807,6.525779109111608,18
informer,72,F1,6.025797960641328,0.9323621398500673,4.15693312719025,9.468485802275735,6.15572871480651,18
informer,72,F2,6.091408869569458,0.9204601514455594,4.266785706625122,9.545502544874502,6.293801260246596,18
informer,72,F3,6.282240126734642,1.0169884910636384,4.4134838176805555,9.706231838262367,6.464301593606896,18
informer,72,F4,6.427695952871828,1.1658065916268074,4.546294420336511,9.81884931833422,6.543657792663076,18
informer,72,F5,6.247479412686449,1.0017992298631309,4.47244239061745,9.725199297634548,6.530029716664254,18
informer,96,F1,6.060840165391856,0.9672521565530843,4.179624162877008,9.532111917644357,6.216685135251223,18
informer,96,F2,6.061956809389585,1.0015581201103558,4.241310631967854,9.545429955681856,6.300348428538496,18
informer,96,F3,6.264753584948133,0.9533696682604618,4.490061832493633,9.718095720820749,6.564566270993878,18
informer,96,F4,6.437033940887648,1.243201757122187,4.5692862379129515,9.843170991188893,6.583097299124788,18
informer,96,F5,6.299305886242946,1.0189638687000604,4.574493276890653,9.765993759489579,6.639490065263008,18
xgboost,24,F1,5.948195461234671,0.8331891426615511,4.196499591387501,9.39936036522885,6.241858922179438,18
xgboost,24,F2,5.832689313798475,0.8215877254132197,4.137896695098496,9.243263914502325,6.143226669193946,18
xgboost,24,F3,5.802470074663619,0.7625061537316286,4.0981647223119175,9.309209752330446,6.1532254920425995,18
xgboost,24,F4,5.8689788614202785,0.7995981206140101,4.108027576330013,9.380240203307196,6.161945461292176,18
xgboost,24,F5,5.491124370288598,0.7747043728826656,3.984833705393871,9.088251195783693,6.113227787345697,18
