model,model_label,feature_config,lead,mae,rmse,n_stations
gat_informer,GAT-Informer,F2,14,6.384294700978813,9.94592641249869,18
gat_informer,GAT-Informer,F2,15,6.437427748081225,10.009986669233482,18
gat_informer,GAT-Informer,F2,16,6.484959237267884,10.073434908425234,18
gat_informer,GAT-Informer,F2,17,6.528341560067749,10.13591024609726,18
gat_informer,GAT-Informer,F2,18,6.574228953240678,10.192359694265088,18
gat_informer,GAT-Informer,F2,19,6.614058271044812,10.242461981756147,18
gat_informer,GAT-Informer,F2,20,6.655324065129207,10.29749901511003,18
gat_informer,GAT-Informer,F2,21,6.69349175674466,10.347987734089195,18
gat_informer,GAT-Informer,F2,22,6.729210448543711,10.392250821870226,18
gat_informer,GAT-Informer,F2,23,6.752931807648462,10.423459027854854,18
gat_informer,GAT-Informer,F2,24,6.761776344786771,10.431123332627347,18
informer,Informer2020,F1,1,3.7559983476872634,6.05177592405348,17
informer,Informer2020,F1,2,4.84934727802777,7.72101545169686,17
informer,Informer2020,F1,3,5.205019141696831,8.188171122702188,17
informer,Informer2020,F1,4,5.4946973115742725,8.549806047178667,17
informer,Informer2020,F1,5,5.737545436058782,8.851782956925614,17
informer,Informer2020,F1,6,5.933908199629993,9.094542274976279,17
informer,Informer2020,F1,7,6.085834932262458,9.323257293862893,17
informer,Informer2020,F1,8,6.1785518701099855,9.454055712152057,17
informer,Informer2020,F1,9,6.251888105181731,9.561052353934702,17
informer,Informer2020,F1,10,6.3529776589198335,9.648750182865633,17
informer,Informer2020,F1,11,6.429973985253082,9.716840712485576,17
informer,Informer2020,F1,12,6.50923124711744,9.795491753513216,17
informer,Informer2020,F1,13,6.641172089637149,9.957017841179393,17
informer,Informer2020,F1,14,6.7021660677371155,10.050483702025451,17
informer,Informer2020,F1,15,6.737661144718238,10.11038472393202,17
informer,Informer2020,F1,16,6.789150126430089,10.133656091101097,17
informer,Informer2020,F1,17,6.816671510794659,10.14771295529385,17
informer,Informer2020,F1,18,6.863847791582623,10.186466661364275,17
informer,Informer2020,F1,19,6.914271424163099,10.243372218290766,17
informer,Informer2020,F1,20,6.952383915889694,10.29633697229213,17
informer,Informer2020,F1,21,6.993745482638921,10.363355373178377,17
informer,Informer2020,F1,22,6.99120362805997,10.331795273815441,17
informer,Informer2020,F1,23,6.993877874753783,10.312129042971277,17
informer,Informer2020,F1,24,7.012244203572608,10.323516914771787,17
xgboost,XGBoost,F5,1,3.092040094540492,5.281397892679075,18
xgboost,XGBoost,F5,2,4.207041195450997,6.694137161357525,18
xgboost,XGBoost,F5,3,4.789738253708973,7.407625175225686,18
xgboost,XGBoost,F5,4,5.169284862161279,7.866303669185665,18
xgboost,XGBoost,F5,5,5.460190974358203,8.213744170459654,18
xgboost,XGBoost,F5,6,5.663360182787407,8.45144555084503,18
xgboost,XGBoost,F5,7,5.83800808971126,8.65491076248701,18
xgboost,XGBoost,F5,8,5.970416004246788,8.8023076579167,18
xgboost,XGBoost,F5,9,6.1002411933654255,8.936666542347758,18
xgboost,XGBoost,F5,10,6.195558765072644,9.037332754017317,18
xgboost,XGBoost,F5,11,6.286438557091525,9.131256960591996,18
xgboost,XGBoost,F5,12,6.364874846278814,9.220255009735954,18
xgboost,XGBoost,F5,13,6.4363703363712155,9.296329470917915,18
xgboost,XGBoost,F5,14,6.506834131944864,9.384869701901136,18
xgboost,XGBoost,F5,15,6.59330780671105,9.499668005284144,18
xgboost,XGBoost,F5,16,6.645738513864731,9.551325754074186,18
xgboost,XGBoost,F5,17,6.708071859313485,9.632381792410733,18
xgboost,XGBoost,F5,18,6.764370299851665,9.691528686150486,18
xgboost,XGBoost,F5,19,6.796812051682644,9.753902587715597,18
xgboost,XGBoost,F5,20,6.847367292738536,9.851052548772541,18
xgboost,XGBoost,F5,21,6.88494041107612,9.925575354263009,18
xgboost,XGBoost,F5,22,6.927239789724762,10.016580040019099,18
xgboost,XGBoost,F5,23,6.982116671849681,10.11101463086034,18
xgboost,XGBoost,F5,24,7.030520315272222,10.17122915593739,18
